county,precinct,office,district,candidate,votes,party
Clark,Clark-3716 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Yeager, Bita",216,
Clark,Clark-3716 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Bennett, Karen",279,
Clark,Clark-3716 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Ginn, Vincent Vinny""""",157,
Clark,Clark-3716 - LAS,President,,"CASTLE, DARRELL",3,IAP
Clark,Clark-3716 - LAS,President,,"CLINTON, HILLARY",208,DEM
Clark,Clark-3716 - LAS,President,,"DE LA FUENTE, ROQUE ROCKY""""",0,NPP
Clark,Clark-3716 - LAS,President,,"JOHNSON, GARY",23,LPN
Clark,Clark-3716 - LAS,President,,None Of These Candidates,15,
Clark,Clark-3716 - LAS,President,,"TRUMP, DONALD J.",316,REP
Clark,Clark-3716 - LAS,"State Assembly, District 4",,"McArthur, Richard",323,REP
Clark,Clark-3716 - LAS,"State Assembly, District 4",,"Piro, John",216,DEM
Clark,Clark-3716 - LAS,"State Board of Education, Dist. 4",,"MARCIANO, LEN",153,
Clark,Clark-3716 - LAS,"State Board of Education, Dist. 4",,"NEWBURN, MARK",259,
Clark,Clark-3716 - LAS,STATE QUESTION NO.1,,No,327,
Clark,Clark-3716 - LAS,STATE QUESTION NO.1,,Yes,236,
Clark,Clark-3716 - LAS,STATE QUESTION NO.2,,No,291,
Clark,Clark-3716 - LAS,STATE QUESTION NO.2,,Yes,272,
Clark,Clark-3716 - LAS,STATE QUESTION NO.3,,No,177,
Clark,Clark-3716 - LAS,STATE QUESTION NO.3,,Yes,374,
Clark,Clark-3716 - LAS,STATE QUESTION NO.4,,No,178,
Clark,Clark-3716 - LAS,STATE QUESTION NO.4,,Yes,374,
Clark,Clark-3716 - LAS,"State Senate, District 18",,"Hammond, Scott T.",339,REP
Clark,Clark-3716 - LAS,"State Senate, District 18",,"Marks, Alexander",207,DEM
Clark,Clark-3716 - LAS,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",373,
Clark,Clark-3716 - LAS,"Supreme Court Justice, Seat A",,None Of These Candidates,106,
Clark,Clark-3716 - LAS,"Supreme Court Justice, Seat E",,None Of These Candidates,111,
Clark,Clark-3716 - LAS,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",371,
Clark,Clark-3716 - LAS,"Trustee, Clark County School Dist. E",,"Brooks, Lola",191,
Clark,Clark-3716 - LAS,"Trustee, Clark County School Dist. E",,"Tew, Patrice",239,
Clark,Clark-3716 - LAS,U.S. House,4,"Brown, Steve",17,LPN
Clark,Clark-3716 - LAS,U.S. House,4,"Hardy, Cresent",320,REP
Clark,Clark-3716 - LAS,U.S. House,4,"KIHUEN, RUBEN",203,DEM
Clark,Clark-3716 - LAS,U.S. House,4,"LITTLE, MIKE",12,IAP
Clark,Clark-3716 - LAS,U.S. Senate,,"CORTEZ MASTO, CATHERINE",208,DEM
Clark,Clark-3716 - LAS,U.S. Senate,,"GUMINA, TONY",4,
Clark,Clark-3716 - LAS,U.S. Senate,,"HECK, JOE",319,REP
Clark,Clark-3716 - LAS,U.S. Senate,,"JONES, TOM",10,IAP
Clark,Clark-3716 - LAS,U.S. Senate,,None Of These Candidates,11,
Clark,Clark-3716 - LAS,U.S. Senate,,"SAWYER, THOMAS TOM""""",5,
Clark,Clark-3716 - LAS,U.S. Senate,,"WILLIAMS, JARROD M.",1,
Clark,Clark-3717 - LAS,CLARK COUNTY QUESTION NO. 5,,No,243,
Clark,Clark-3717 - LAS,CLARK COUNTY QUESTION NO. 5,,Yes,233,
Clark,Clark-3717 - LAS,County Commissioner Dist. C,,"Brown, Larry",211,
Clark,Clark-3717 - LAS,County Commissioner Dist. C,,"Sedlmeyer, Stephen",267,
Clark,Clark-3717 - LAS,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,89,
Clark,Clark-3717 - LAS,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",324,
Clark,Clark-3717 - LAS,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",337,
Clark,Clark-3717 - LAS,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,79,
Clark,Clark-3717 - LAS,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,86,
Clark,Clark-3717 - LAS,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",318,
Clark,Clark-3717 - LAS,"District Court Judge, Dist. 8, Dept. 15",,"Gale, Bruce L.",120,
Clark,Clark-3717 - LAS,"District Court Judge, Dist. 8, Dept. 15",,"Hardy, Jr., Joe",267,
Clark,Clark-3717 - LAS,"District Court Judge, Dist. 8, Dept. 20",,"Johnson, Eric",249,
Clark,Clark-3717 - LAS,"District Court Judge, Dist. 8, Dept. 20",,"Levy, Anat Annette""""",130,
Clark,Clark-3717 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Bachman, Shana",133,
Clark,Clark-3717 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Baucum, Suzan",242,
Clark,Clark-3717 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Letizia, Harmony",187,
Clark,Clark-3717 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Marshall, Janiece",189,
Clark,Clark-3717 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Kern, Rebecca",177,
Clark,Clark-3717 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Yeager, Bita",195,
Clark,Clark-3717 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Bennett, Karen",219,
Clark,Clark-3717 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Ginn, Vincent Vinny""""",143,
Clark,Clark-3717 - LAS,President,,"CASTLE, DARRELL",1,IAP
Clark,Clark-3717 - LAS,President,,"CLINTON, HILLARY",135,DEM
Clark,Clark-3717 - LAS,President,,"DE LA FUENTE, ROQUE ROCKY""""",1,NPP
Clark,Clark-3717 - LAS,President,,"JOHNSON, GARY",14,LPN
Clark,Clark-3717 - LAS,President,,None Of These Candidates,5,
Clark,Clark-3717 - LAS,President,,"TRUMP, DONALD J.",330,REP
Clark,Clark-3717 - LAS,"State Assembly, District 37",,"Lyttle, Sean D.",150,DEM
Clark,Clark-3717 - LAS,"State Assembly, District 37",,"Marchant, Jim",324,REP
Clark,Clark-3717 - LAS,"State Board of Education, Dist. 4",,"MARCIANO, LEN",117,
Clark,Clark-3717 - LAS,"State Board of Education, Dist. 4",,"NEWBURN, MARK",238,
Clark,Clark-3717 - LAS,STATE QUESTION NO.1,,No,285,
Clark,Clark-3717 - LAS,STATE QUESTION NO.1,,Yes,195,
Clark,Clark-3717 - LAS,STATE QUESTION NO.2,,No,251,
Clark,Clark-3717 - LAS,STATE QUESTION NO.2,,Yes,230,
Clark,Clark-3717 - LAS,STATE QUESTION NO.3,,No,113,
Clark,Clark-3717 - LAS,STATE QUESTION NO.3,,Yes,363,
Clark,Clark-3717 - LAS,STATE QUESTION NO.4,,No,137,
Clark,Clark-3717 - LAS,STATE QUESTION NO.4,,Yes,334,
Clark,Clark-3717 - LAS,"State Senate, District 6",,"Cannizzaro, Nicole",153,DEM
Clark,Clark-3717 - LAS,"State Senate, District 6",,"Seaman, Victoria",318,REP
Clark,Clark-3717 - LAS,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",324,
Clark,Clark-3717 - LAS,"Supreme Court Justice, Seat A",,None Of These Candidates,93,
Clark,Clark-3717 - LAS,"Supreme Court Justice, Seat E",,None Of These Candidates,89,
Clark,Clark-3717 - LAS,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",327,
Clark,Clark-3717 - LAS,"Trustee, Clark County School Dist. E",,"Brooks, Lola",147,
Clark,Clark-3717 - LAS,"Trustee, Clark County School Dist. E",,"Tew, Patrice",217,
Clark,Clark-3717 - LAS,U.S. House,4,"Brown, Steve",13,LPN
Clark,Clark-3717 - LAS,U.S. House,4,"Hardy, Cresent",329,REP
Clark,Clark-3717 - LAS,U.S. House,4,"KIHUEN, RUBEN",128,DEM
Clark,Clark-3717 - LAS,U.S. House,4,"LITTLE, MIKE",10,IAP
Clark,Clark-3717 - LAS,U.S. Senate,,"CORTEZ MASTO, CATHERINE",151,DEM
Clark,Clark-3717 - LAS,U.S. Senate,,"GUMINA, TONY",7,
Clark,Clark-3717 - LAS,U.S. Senate,,"HECK, JOE",312,REP
Clark,Clark-3717 - LAS,U.S. Senate,,"JONES, TOM",3,IAP
Clark,Clark-3717 - LAS,U.S. Senate,,None Of These Candidates,5,
Clark,Clark-3717 - LAS,U.S. Senate,,"SAWYER, THOMAS TOM""""",4,
Clark,Clark-3717 - LAS,U.S. Senate,,"WILLIAMS, JARROD M.",0,
Clark,Clark-3718 - COUNTY,CLARK COUNTY QUESTION NO. 5,,No,395,
Clark,Clark-3718 - COUNTY,CLARK COUNTY QUESTION NO. 5,,Yes,350,
Clark,Clark-3718 - COUNTY,County Commissioner Dist. C,,"Brown, Larry",344,
Clark,Clark-3718 - COUNTY,County Commissioner Dist. C,,"Sedlmeyer, Stephen",378,
Clark,Clark-3718 - COUNTY,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,141,
Clark,Clark-3718 - COUNTY,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",493,
Clark,Clark-3718 - COUNTY,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",508,
Clark,Clark-3718 - COUNTY,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,134,
Clark,Clark-3718 - COUNTY,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,142,
Clark,Clark-3718 - COUNTY,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",482,
Clark,Clark-3718 - COUNTY,"District Court Judge, Dist. 8, Dept. 15",,"Gale, Bruce L.",185,
Clark,Clark-3718 - COUNTY,"District Court Judge, Dist. 8, Dept. 15",,"Hardy, Jr., Joe",409,
Clark,Clark-3718 - COUNTY,"District Court Judge, Dist. 8, Dept. 20",,"Johnson, Eric",395,
Clark,Clark-3718 - COUNTY,"District Court Judge, Dist. 8, Dept. 20",,"Levy, Anat Annette""""",179,
Clark,Clark-3718 - COUNTY,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Bachman, Shana",226,
Clark,Clark-3718 - COUNTY,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Baucum, Suzan",340,
Clark,Clark-3718 - COUNTY,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Letizia, Harmony",306,
Clark,Clark-3718 - COUNTY,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Marshall, Janiece",283,
Clark,Clark-3718 - COUNTY,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Kern, Rebecca",301,
Clark,Clark-3718 - COUNTY,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Yeager, Bita",283,
Clark,Clark-3718 - COUNTY,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Bennett, Karen",344,
Clark,Clark-3718 - COUNTY,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Ginn, Vincent Vinny""""",222,
Clark,Clark-3718 - COUNTY,President,,"CASTLE, DARRELL",2,IAP
Clark,Clark-3718 - COUNTY,President,,"CLINTON, HILLARY",190,DEM
Clark,Clark-3718 - COUNTY,President,,"DE LA FUENTE, ROQUE ROCKY""""",0,NPP
Clark,Clark-3718 - COUNTY,President,,"JOHNSON, GARY",17,LPN
Clark,Clark-3718 - COUNTY,President,,None Of These Candidates,15,
Clark,Clark-3718 - COUNTY,President,,"TRUMP, DONALD J.",533,REP
Clark,Clark-3718 - COUNTY,"State Assembly, District 4",,"McArthur, Richard",485,REP
Clark,Clark-3718 - COUNTY,"State Assembly, District 4",,"Piro, John",225,DEM
Clark,Clark-3718 - COUNTY,"State Board of Education, Dist. 4",,"MARCIANO, LEN",190,
Clark,Clark-3718 - COUNTY,"State Board of Education, Dist. 4",,"NEWBURN, MARK",361,
Clark,Clark-3718 - COUNTY,STATE QUESTION NO.1,,No,501,
Clark,Clark-3718 - COUNTY,STATE QUESTION NO.1,,Yes,250,
Clark,Clark-3718 - COUNTY,STATE QUESTION NO.2,,No,405,
Clark,Clark-3718 - COUNTY,STATE QUESTION NO.2,,Yes,345,
Clark,Clark-3718 - COUNTY,STATE QUESTION NO.3,,No,201,
Clark,Clark-3718 - COUNTY,STATE QUESTION NO.3,,Yes,543,
Clark,Clark-3718 - COUNTY,STATE QUESTION NO.4,,No,262,
Clark,Clark-3718 - COUNTY,STATE QUESTION NO.4,,Yes,473,
Clark,Clark-3718 - COUNTY,"State Senate, District 18",,"Hammond, Scott T.",528,REP
Clark,Clark-3718 - COUNTY,"State Senate, District 18",,"Marks, Alexander",186,DEM
Clark,Clark-3718 - COUNTY,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",492,
Clark,Clark-3718 - COUNTY,"Supreme Court Justice, Seat A",,None Of These Candidates,148,
Clark,Clark-3718 - COUNTY,"Supreme Court Justice, Seat E",,None Of These Candidates,141,
Clark,Clark-3718 - COUNTY,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",498,
Clark,Clark-3718 - COUNTY,"Trustee, Clark County School Dist. E",,"Brooks, Lola",217,
Clark,Clark-3718 - COUNTY,"Trustee, Clark County School Dist. E",,"Tew, Patrice",365,
Clark,Clark-3718 - COUNTY,U.S. House,4,"Brown, Steve",29,LPN
Clark,Clark-3718 - COUNTY,U.S. House,4,"Hardy, Cresent",512,REP
Clark,Clark-3718 - COUNTY,U.S. House,4,"KIHUEN, RUBEN",183,DEM
Clark,Clark-3718 - COUNTY,U.S. House,4,"LITTLE, MIKE",13,IAP
Clark,Clark-3718 - COUNTY,U.S. Senate,,"CORTEZ MASTO, CATHERINE",203,DEM
Clark,Clark-3718 - COUNTY,U.S. Senate,,"GUMINA, TONY",2,
Clark,Clark-3718 - COUNTY,U.S. Senate,,"HECK, JOE",513,REP
Clark,Clark-3718 - COUNTY,U.S. Senate,,"JONES, TOM",11,IAP
Clark,Clark-3718 - COUNTY,U.S. Senate,,None Of These Candidates,14,
Clark,Clark-3718 - COUNTY,U.S. Senate,,"SAWYER, THOMAS TOM""""",4,
Clark,Clark-3718 - COUNTY,U.S. Senate,,"WILLIAMS, JARROD M.",4,
Clark,Clark-3719 - LAS,CLARK COUNTY QUESTION NO. 5,,No,469,
Clark,Clark-3719 - LAS,CLARK COUNTY QUESTION NO. 5,,Yes,641,
Clark,Clark-3719 - LAS,County Commissioner Dist. C,,"Brown, Larry",660,
Clark,Clark-3719 - LAS,County Commissioner Dist. C,,"Sedlmeyer, Stephen",429,
Clark,Clark-3719 - LAS,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,260,
Clark,Clark-3719 - LAS,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",705,
Clark,Clark-3719 - LAS,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",702,
Clark,Clark-3719 - LAS,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,270,
Clark,Clark-3719 - LAS,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,243,
Clark,Clark-3719 - LAS,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",697,
Clark,Clark-3719 - LAS,"District Court Judge, Dist. 8, Dept. 15",,"Gale, Bruce L.",333,
Clark,Clark-3719 - LAS,"District Court Judge, Dist. 8, Dept. 15",,"Hardy, Jr., Joe",556,
Clark,Clark-3719 - LAS,"District Court Judge, Dist. 8, Dept. 20",,"Johnson, Eric",504,
Clark,Clark-3719 - LAS,"District Court Judge, Dist. 8, Dept. 20",,"Levy, Anat Annette""""",381,
Clark,Clark-3719 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Bachman, Shana",441,
Clark,Clark-3719 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Baucum, Suzan",432,
Clark,Clark-3719 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Letizia, Harmony",486,
Clark,Clark-3719 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Marshall, Janiece",400,
Clark,Clark-3719 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Kern, Rebecca",505,
Clark,Clark-3719 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Yeager, Bita",375,
Clark,Clark-3719 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Bennett, Karen",578,
Clark,Clark-3719 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Ginn, Vincent Vinny""""",302,
Clark,Clark-3719 - LAS,President,,"CASTLE, DARRELL",8,IAP
Clark,Clark-3719 - LAS,President,,"CLINTON, HILLARY",545,DEM
Clark,Clark-3719 - LAS,President,,"DE LA FUENTE, ROQUE ROCKY""""",2,NPP
Clark,Clark-3719 - LAS,President,,"JOHNSON, GARY",38,LPN
Clark,Clark-3719 - LAS,President,,None Of These Candidates,28,
Clark,Clark-3719 - LAS,President,,"TRUMP, DONALD J.",516,REP
Clark,Clark-3719 - LAS,"State Assembly, District 4",,"McArthur, Richard",524,REP
Clark,Clark-3719 - LAS,"State Assembly, District 4",,"Piro, John",555,DEM
Clark,Clark-3719 - LAS,"State Board of Education, Dist. 4",,"MARCIANO, LEN",320,
Clark,Clark-3719 - LAS,"State Board of Education, Dist. 4",,"NEWBURN, MARK",515,
Clark,Clark-3719 - LAS,STATE QUESTION NO.1,,No,451,
Clark,Clark-3719 - LAS,STATE QUESTION NO.1,,Yes,676,
Clark,Clark-3719 - LAS,STATE QUESTION NO.2,,No,513,
Clark,Clark-3719 - LAS,STATE QUESTION NO.2,,Yes,609,
Clark,Clark-3719 - LAS,STATE QUESTION NO.3,,No,204,
Clark,Clark-3719 - LAS,STATE QUESTION NO.3,,Yes,891,
Clark,Clark-3719 - LAS,STATE QUESTION NO.4,,No,272,
Clark,Clark-3719 - LAS,STATE QUESTION NO.4,,Yes,814,
Clark,Clark-3719 - LAS,"State Senate, District 18",,"Hammond, Scott T.",545,REP
Clark,Clark-3719 - LAS,"State Senate, District 18",,"Marks, Alexander",534,DEM
Clark,Clark-3719 - LAS,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",700,
Clark,Clark-3719 - LAS,"Supreme Court Justice, Seat A",,None Of These Candidates,272,
Clark,Clark-3719 - LAS,"Supreme Court Justice, Seat E",,None Of These Candidates,282,
Clark,Clark-3719 - LAS,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",692,
Clark,Clark-3719 - LAS,"Trustee, Clark County School Dist. E",,"Brooks, Lola",447,
Clark,Clark-3719 - LAS,"Trustee, Clark County School Dist. E",,"Tew, Patrice",424,
Clark,Clark-3719 - LAS,U.S. House,4,"Brown, Steve",39,LPN
Clark,Clark-3719 - LAS,U.S. House,4,"Hardy, Cresent",503,REP
Clark,Clark-3719 - LAS,U.S. House,4,"KIHUEN, RUBEN",529,DEM
Clark,Clark-3719 - LAS,U.S. House,4,"LITTLE, MIKE",27,IAP
Clark,Clark-3719 - LAS,U.S. Senate,,"CORTEZ MASTO, CATHERINE",535,DEM
Clark,Clark-3719 - LAS,U.S. Senate,,"GUMINA, TONY",12,
Clark,Clark-3719 - LAS,U.S. Senate,,"HECK, JOE",507,REP
Clark,Clark-3719 - LAS,U.S. Senate,,"JONES, TOM",18,IAP
Clark,Clark-3719 - LAS,U.S. Senate,,None Of These Candidates,30,
Clark,Clark-3719 - LAS,U.S. Senate,,"SAWYER, THOMAS TOM""""",12,
Clark,Clark-3719 - LAS,U.S. Senate,,"WILLIAMS, JARROD M.",7,
Clark,Clark-3720 - LAS,CLARK COUNTY QUESTION NO. 5,,No,262,
Clark,Clark-3720 - LAS,CLARK COUNTY QUESTION NO. 5,,Yes,286,
Clark,Clark-3720 - LAS,County Commissioner Dist. C,,"Brown, Larry",349,
Clark,Clark-3720 - LAS,County Commissioner Dist. C,,"Sedlmeyer, Stephen",194,
Clark,Clark-3720 - LAS,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,143,
Clark,Clark-3720 - LAS,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",340,
Clark,Clark-3720 - LAS,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",338,
Clark,Clark-3720 - LAS,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,146,
Clark,Clark-3720 - LAS,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,127,
Clark,Clark-3720 - LAS,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",342,
Clark,Clark-3720 - LAS,"District Court Judge, Dist. 8, Dept. 15",,"Gale, Bruce L.",180,
Clark,Clark-3720 - LAS,"District Court Judge, Dist. 8, Dept. 15",,"Hardy, Jr., Joe",263,
Clark,Clark-3720 - LAS,"District Court Judge, Dist. 8, Dept. 20",,"Johnson, Eric",239,
Clark,Clark-3720 - LAS,"District Court Judge, Dist. 8, Dept. 20",,"Levy, Anat Annette""""",198,
Clark,Clark-3720 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Bachman, Shana",205,
Clark,Clark-3720 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Baucum, Suzan",228,
Clark,Clark-3720 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Letizia, Harmony",252,
Clark,Clark-3720 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Marshall, Janiece",192,
Clark,Clark-3720 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Kern, Rebecca",285,
Clark,Clark-3720 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Yeager, Bita",152,
Clark,Clark-3720 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Bennett, Karen",293,
Clark,Clark-3720 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Ginn, Vincent Vinny""""",140,
Clark,Clark-3720 - LAS,President,,"CASTLE, DARRELL",1,IAP
Clark,Clark-3720 - LAS,President,,"CLINTON, HILLARY",311,DEM
Clark,Clark-3720 - LAS,President,,"DE LA FUENTE, ROQUE ROCKY""""",2,NPP
Clark,Clark-3720 - LAS,President,,"JOHNSON, GARY",14,LPN
Clark,Clark-3720 - LAS,President,,None Of These Candidates,22,
Clark,Clark-3720 - LAS,President,,"TRUMP, DONALD J.",224,REP
Clark,Clark-3720 - LAS,"State Assembly, District 4",,"McArthur, Richard",213,REP
Clark,Clark-3720 - LAS,"State Assembly, District 4",,"Piro, John",327,DEM
Clark,Clark-3720 - LAS,"State Board of Education, Dist. 4",,"MARCIANO, LEN",158,
Clark,Clark-3720 - LAS,"State Board of Education, Dist. 4",,"NEWBURN, MARK",258,
Clark,Clark-3720 - LAS,STATE QUESTION NO.1,,No,223,
Clark,Clark-3720 - LAS,STATE QUESTION NO.1,,Yes,342,
Clark,Clark-3720 - LAS,STATE QUESTION NO.2,,No,241,
Clark,Clark-3720 - LAS,STATE QUESTION NO.2,,Yes,329,
Clark,Clark-3720 - LAS,STATE QUESTION NO.3,,No,126,
Clark,Clark-3720 - LAS,STATE QUESTION NO.3,,Yes,420,
Clark,Clark-3720 - LAS,STATE QUESTION NO.4,,No,134,
Clark,Clark-3720 - LAS,STATE QUESTION NO.4,,Yes,405,
Clark,Clark-3720 - LAS,"State Senate, District 18",,"Hammond, Scott T.",217,REP
Clark,Clark-3720 - LAS,"State Senate, District 18",,"Marks, Alexander",323,DEM
Clark,Clark-3720 - LAS,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",336,
Clark,Clark-3720 - LAS,"Supreme Court Justice, Seat A",,None Of These Candidates,146,
Clark,Clark-3720 - LAS,"Supreme Court Justice, Seat E",,None Of These Candidates,146,
Clark,Clark-3720 - LAS,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",341,
Clark,Clark-3720 - LAS,"Trustee, Clark County School Dist. E",,"Brooks, Lola",232,
Clark,Clark-3720 - LAS,"Trustee, Clark County School Dist. E",,"Tew, Patrice",197,
Clark,Clark-3720 - LAS,U.S. House,4,"Brown, Steve",25,LPN
Clark,Clark-3720 - LAS,U.S. House,4,"Hardy, Cresent",202,REP
Clark,Clark-3720 - LAS,U.S. House,4,"KIHUEN, RUBEN",307,DEM
Clark,Clark-3720 - LAS,U.S. House,4,"LITTLE, MIKE",13,IAP
Clark,Clark-3720 - LAS,U.S. Senate,,"CORTEZ MASTO, CATHERINE",305,DEM
Clark,Clark-3720 - LAS,U.S. Senate,,"GUMINA, TONY",8,
Clark,Clark-3720 - LAS,U.S. Senate,,"HECK, JOE",201,REP
Clark,Clark-3720 - LAS,U.S. Senate,,"JONES, TOM",13,IAP
Clark,Clark-3720 - LAS,U.S. Senate,,None Of These Candidates,30,
Clark,Clark-3720 - LAS,U.S. Senate,,"SAWYER, THOMAS TOM""""",5,
Clark,Clark-3720 - LAS,U.S. Senate,,"WILLIAMS, JARROD M.",2,
Clark,Clark-3721 - LAS,CLARK COUNTY QUESTION NO. 5,,No,381,
Clark,Clark-3721 - LAS,CLARK COUNTY QUESTION NO. 5,,Yes,448,
Clark,Clark-3721 - LAS,County Commissioner Dist. C,,"Brown, Larry",441,
Clark,Clark-3721 - LAS,County Commissioner Dist. C,,"Sedlmeyer, Stephen",361,
Clark,Clark-3721 - LAS,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,226,
Clark,Clark-3721 - LAS,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",486,
Clark,Clark-3721 - LAS,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",483,
Clark,Clark-3721 - LAS,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,226,
Clark,Clark-3721 - LAS,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,216,
Clark,Clark-3721 - LAS,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",470,
Clark,Clark-3721 - LAS,"District Court Judge, Dist. 8, Dept. 15",,"Gale, Bruce L.",237,
Clark,Clark-3721 - LAS,"District Court Judge, Dist. 8, Dept. 15",,"Hardy, Jr., Joe",414,
Clark,Clark-3721 - LAS,"District Court Judge, Dist. 8, Dept. 20",,"Johnson, Eric",354,
Clark,Clark-3721 - LAS,"District Court Judge, Dist. 8, Dept. 20",,"Levy, Anat Annette""""",294,
Clark,Clark-3721 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Bachman, Shana",287,
Clark,Clark-3721 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 13",,"Baucum, Suzan",357,
Clark,Clark-3721 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Letizia, Harmony",350,
Clark,Clark-3721 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 3",,"Marshall, Janiece",296,
Clark,Clark-3721 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Kern, Rebecca",378,
Clark,Clark-3721 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 6",,"Yeager, Bita",260,
Clark,Clark-3721 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Bennett, Karen",417,
Clark,Clark-3721 - LAS,"Justice of the Peace, Las Vegas Township, Dept. 7",,"Ginn, Vincent Vinny""""",233,
Clark,Clark-3721 - LAS,President,,"CASTLE, DARRELL",3,IAP
Clark,Clark-3721 - LAS,President,,"CLINTON, HILLARY",373,DEM
Clark,Clark-3721 - LAS,President,,"DE LA FUENTE, ROQUE ROCKY""""",2,NPP
Clark,Clark-3721 - LAS,President,,"JOHNSON, GARY",27,LPN
Clark,Clark-3721 - LAS,President,,None Of These Candidates,23,
Clark,Clark-3721 - LAS,President,,"TRUMP, DONALD J.",428,REP
