2012 Statewide General Election Results,,,,
"Note: In cases where the cumulative turnout for a precinct for a race or ballot question is greater than 0 but less than 10, the numbers have been replaced with an asterisk (*) in order to protect the secrecy of a voter's ballot, as required by Nevada Law. As a result, the total for a precinct may be different from what is reported on official documents. ",,,,
,,,,
Jurisdiction,Precinct,Contest,Selection,Votes
Clark,3753 - LAS,"District Court Judge, District 8, Department  4","Gale, Bruce L.",0
Clark,3753 - LAS,"District Court Judge, District 8, Department  4","Kelley, Robert A.",0
Clark,3753 - LAS,"District Court Judge, District 8, Department  4","Kimble-Simms, Marsha",0
Clark,3753 - LAS,"District Court Judge, District 8, Department  4","Lee, Chris",0
Clark,3753 - LAS,"District Court Judge, District 8, Department  4","Mills, Michael C. ""Mike""",0
Clark,3753 - LAS,"District Court Judge, District 8, Department  4","Peyton, Troy E.",0
Clark,3753 - LAS,"District Court Judge, District 8, Department  4","Watkins, John G.",0
Clark,3753 - LAS,"District Court Judge, District 8, Department  5","Ellsworth, Carolyn",0
Clark,3753 - LAS,"District Court Judge, District 8, Department  5","Jefferson, Phung",0
Clark,3753 - LAS,"District Court Judge, District 8, Department 14","Davidson, Michael D.",0
Clark,3753 - LAS,"District Court Judge, District 8, Department 14","Escobar, Adriana",0
Clark,3753 - LAS,"District Court Judge, District 8, Department 20","Rasmussen, Chris T.",0
Clark,3753 - LAS,"District Court Judge, District 8, Department 20","Tao, Jerry",0
Clark,3753 - LAS,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 1","Ginn, Vincent",0
Clark,3753 - LAS,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 1","Lippis, Deborah",0
Clark,3753 - LAS,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 5","Dustin-Cruz, Cynthia",0
Clark,3753 - LAS,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 5","Jansen, William ""Bill""",0
Clark,3753 - LAS,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 8","Chelini, Amy",0
Clark,3753 - LAS,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 8","Zimmerman, Ann Elizabeth",0
Clark,3753 - LAS,President and Vice President of the United States,"GOODE, VIRGIL",0
Clark,3753 - LAS,President and Vice President of the United States,"JOHNSON, GARY",0
Clark,3753 - LAS,President and Vice President of the United States,None Of These Candidates,0
Clark,3753 - LAS,President and Vice President of the United States,"Obama, Barack",0
Clark,3753 - LAS,President and Vice President of the United States,"Romney, Mitt",0
Clark,3753 - LAS,"State Assembly, District 37","Conklin, Marcus",0
Clark,3753 - LAS,"State Assembly, District 37","Duncan, Wesley",0
Clark,3753 - LAS,State Question No. 1,No,0
Clark,3753 - LAS,State Question No. 1,Yes,0
Clark,3753 - LAS,"State Senate, District 6","Hutchison, Mark",0
Clark,3753 - LAS,"State Senate, District 6","Yerushalmi, Benny",0
Clark,3753 - LAS,"Supreme Court Justice, Seat C","Cherry, Michael A.",0
Clark,3753 - LAS,"Supreme Court Justice, Seat C",None Of These Candidates,0
Clark,3753 - LAS,"Supreme Court Justice, Seat F","Douglas, Michael L.",0
Clark,3753 - LAS,"Supreme Court Justice, Seat F",None Of These Candidates,0
Clark,3753 - LAS,"Supreme Court Justice, Seat G",None Of These Candidates,0
Clark,3753 - LAS,"Supreme Court Justice, Seat G","Saitta, Nancy M.",0
Clark,3753 - LAS,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT E","Clinton, James",0
Clark,3753 - LAS,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT E","Tew, Patrice",0
Clark,3753 - LAS,"U.S. Representative in Congress, District 4","Fitzgibbons, Floyd",0
Clark,3753 - LAS,"U.S. Representative in Congress, District 4","Horsford, Steven A.",0
Clark,3753 - LAS,"U.S. Representative in Congress, District 4","SILVESTRI, JOSEPH P.",0
Clark,3753 - LAS,"U.S. Representative in Congress, District 4","TARKANIAN, DANNY",0
Clark,3753 - LAS,United States Senator,"Berkley, Shelley",0
Clark,3753 - LAS,United States Senator,"Heller, Dean",0
Clark,3753 - LAS,United States Senator,None Of These Candidates,0
Clark,3753 - LAS,United States Senator,"VANDERBEEK, DAVID LORY",0
Clark,3754 - LAS,President and Vice President of the United States,"GOODE, VIRGIL",2
Clark,3754 - LAS,President and Vice President of the United States,None Of These Candidates,4
Clark,3754 - LAS,President and Vice President of the United States,"JOHNSON, GARY",12
Clark,3754 - LAS,"U.S. Representative in Congress, District 4","SILVESTRI, JOSEPH P.",41
Clark,3754 - LAS,"U.S. Representative in Congress, District 4","Fitzgibbons, Floyd",44
Clark,3754 - LAS,COUNTY COMMISSION DISTRICT C,"Barnhill, Brad Lee",48
Clark,3754 - LAS,"District Court Judge, District 8, Department  4","Peyton, Troy E.",52
Clark,3754 - LAS,United States Senator,None Of These Candidates,57
Clark,3754 - LAS,United States Senator,"VANDERBEEK, DAVID LORY",62
Clark,3754 - LAS,"District Court Judge, District 8, Department  4","Watkins, John G.",65
Clark,3754 - LAS,"District Court Judge, District 8, Department  4","Mills, Michael C. ""Mike""",73
Clark,3754 - LAS,"District Court Judge, District 8, Department  4","Gale, Bruce L.",74
Clark,3754 - LAS,"District Court Judge, District 8, Department  4","Kelley, Robert A.",104
Clark,3754 - LAS,"District Court Judge, District 8, Department  4","Lee, Chris",127
Clark,3754 - LAS,"District Court Judge, District 8, Department  4","Bailey, Soonhee ""Sunny""",134
Clark,3754 - LAS,"District Court Judge, District 8, Department  4","Earley, Kerry Louise",165
Clark,3754 - LAS,"District Court Judge, District 8, Department  4","Kimble-Simms, Marsha",168
Clark,3754 - LAS,"District Court Judge, District 8, Department  5","Jefferson, Phung",216
Clark,3754 - LAS,"Supreme Court Justice, Seat F",None Of These Candidates,321
Clark,3754 - LAS,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 1","Ginn, Vincent",326
Clark,3754 - LAS,"Supreme Court Justice, Seat C",None Of These Candidates,333
Clark,3754 - LAS,COUNTY COMMISSION DISTRICT C,"Lake, Craig O.",334
Clark,3754 - LAS,"Supreme Court Justice, Seat G",None Of These Candidates,335
Clark,3754 - LAS,"U.S. Representative in Congress, District 4","TARKANIAN, DANNY",382
Clark,3754 - LAS,United States Senator,"Heller, Dean",404
Clark,3754 - LAS,"State Assembly, District 34","Harrington, Clark",409
Clark,3754 - LAS,President and Vice President of the United States,"Romney, Mitt",410
Clark,3754 - LAS,State Question No. 1,No,441
Clark,3754 - LAS,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 8","Chelini, Amy",447
Clark,3754 - LAS,"District Court Judge, District 8, Department 20","Rasmussen, Chris T.",450
Clark,3754 - LAS,"District Court Judge, District 8, Department 14","Davidson, Michael D.",451
Clark,3754 - LAS,"State Senate, District 6","Hutchison, Mark",455
Clark,3754 - LAS,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 5","Jansen, William ""Bill""",458
Clark,3754 - LAS,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT E","Tew, Patrice",466
Clark,3754 - LAS,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT E","Clinton, James",473
Clark,3754 - LAS,CLARK COUNTY QUESTION NO. 2,Yes,493
Clark,3754 - LAS,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 5","Dustin-Cruz, Cynthia",507
Clark,3754 - LAS,"District Court Judge, District 8, Department 20","Tao, Jerry",511
Clark,3754 - LAS,"District Court Judge, District 8, Department 14","Escobar, Adriana",529
Clark,3754 - LAS,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 8","Zimmerman, Ann Elizabeth",544
Clark,3754 - LAS,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 1","Lippis, Deborah",627
Clark,3754 - LAS,CLARK COUNTY QUESTION NO. 2,No,731
Clark,3754 - LAS,United States Senator,"Berkley, Shelley",746
Clark,3754 - LAS,State Question No. 1,Yes,751
Clark,3754 - LAS,"State Senate, District 6","Yerushalmi, Benny",761
Clark,3754 - LAS,"U.S. Representative in Congress, District 4","Horsford, Steven A.",768
Clark,3754 - LAS,"District Court Judge, District 8, Department  5","Ellsworth, Carolyn",772
Clark,3754 - LAS,"Supreme Court Justice, Seat C","Cherry, Michael A.",781
Clark,3754 - LAS,"Supreme Court Justice, Seat G","Saitta, Nancy M.",789
Clark,3754 - LAS,"State Assembly, District 34","Horne, William C.",792
Clark,3754 - LAS,"Supreme Court Justice, Seat F","Douglas, Michael L.",802
Clark,3754 - LAS,COUNTY COMMISSION DISTRICT C,"Brown, Larry",815
Clark,3754 - LAS,President and Vice President of the United States,"Obama, Barack",863
Clark,3755 - LAS,President and Vice President of the United States,"GOODE, VIRGIL",3
Clark,3755 - LAS,President and Vice President of the United States,None Of These Candidates,5
Clark,3755 - LAS,President and Vice President of the United States,"JOHNSON, GARY",8
Clark,3755 - LAS,"District Court Judge, District 8, Department  4","Peyton, Troy E.",21
Clark,3755 - LAS,COUNTY COMMISSION DISTRICT C,"Barnhill, Brad Lee",26
Clark,3755 - LAS,"District Court Judge, District 8, Department  4","Watkins, John G.",29
Clark,3755 - LAS,United States Senator,None Of These Candidates,32
Clark,3755 - LAS,United States Senator,"VANDERBEEK, DAVID LORY",32
Clark,3755 - LAS,"U.S. Representative in Congress, District 4","Fitzgibbons, Floyd",33
Clark,3755 - LAS,"U.S. Representative in Congress, District 4","SILVESTRI, JOSEPH P.",33
Clark,3755 - LAS,"District Court Judge, District 8, Department  4","Gale, Bruce L.",37
Clark,3755 - LAS,"District Court Judge, District 8, Department  4","Kelley, Robert A.",54
Clark,3755 - LAS,"District Court Judge, District 8, Department  4","Bailey, Soonhee ""Sunny""",61
Clark,3755 - LAS,"District Court Judge, District 8, Department  4","Mills, Michael C. ""Mike""",65
Clark,3755 - LAS,"District Court Judge, District 8, Department  4","Lee, Chris",68
Clark,3755 - LAS,"District Court Judge, District 8, Department  4","Kimble-Simms, Marsha",82
Clark,3755 - LAS,"District Court Judge, District 8, Department  4","Earley, Kerry Louise",102
Clark,3755 - LAS,"District Court Judge, District 8, Department  5","Jefferson, Phung",120
Clark,3755 - LAS,"Supreme Court Justice, Seat F",None Of These Candidates,125
Clark,3755 - LAS,"Supreme Court Justice, Seat C",None Of These Candidates,131
Clark,3755 - LAS,"Supreme Court Justice, Seat G",None Of These Candidates,132
Clark,3755 - LAS,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 1","Ginn, Vincent",185
Clark,3755 - LAS,COUNTY COMMISSION DISTRICT C,"Lake, Craig O.",210
Clark,3755 - LAS,"District Court Judge, District 8, Department 20","Rasmussen, Chris T.",227
Clark,3755 - LAS,CLARK COUNTY QUESTION NO. 2,Yes,238
Clark,3755 - LAS,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT E","Tew, Patrice",239
Clark,3755 - LAS,"District Court Judge, District 8, Department 14","Davidson, Michael D.",243
Clark,3755 - LAS,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 5","Dustin-Cruz, Cynthia",244
Clark,3755 - LAS,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 8","Chelini, Amy",251
Clark,3755 - LAS,State Question No. 1,No,253
Clark,3755 - LAS,"U.S. Representative in Congress, District 4","TARKANIAN, DANNY",256
Clark,3755 - LAS,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 5","Jansen, William ""Bill""",260
Clark,3755 - LAS,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT E","Clinton, James",261
Clark,3755 - LAS,"State Assembly, District 34","Harrington, Clark",265
Clark,3755 - LAS,United States Senator,"Heller, Dean",266
Clark,3755 - LAS,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 8","Zimmerman, Ann Elizabeth",269
Clark,3755 - LAS,"District Court Judge, District 8, Department 14","Escobar, Adriana",271
Clark,3755 - LAS,President and Vice President of the United States,"Romney, Mitt",276
Clark,3755 - LAS,"District Court Judge, District 8, Department 20","Tao, Jerry",284
Clark,3755 - LAS,"State Senate, District 6","Hutchison, Mark",289
Clark,3755 - LAS,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 1","Lippis, Deborah",312
Clark,3755 - LAS,"U.S. Representative in Congress, District 4","Horsford, Steven A.",332
Clark,3755 - LAS,United States Senator,"Berkley, Shelley",342
Clark,3755 - LAS,"State Senate, District 6","Yerushalmi, Benny",360
Clark,3755 - LAS,"State Assembly, District 34","Horne, William C.",374
Clark,3755 - LAS,State Question No. 1,Yes,383
Clark,3755 - LAS,President and Vice President of the United States,"Obama, Barack",393
Clark,3755 - LAS,"District Court Judge, District 8, Department  5","Ellsworth, Carolyn",396
Clark,3755 - LAS,COUNTY COMMISSION DISTRICT C,"Brown, Larry",408
Clark,3755 - LAS,CLARK COUNTY QUESTION NO. 2,No,415
Clark,3755 - LAS,"Supreme Court Justice, Seat C","Cherry, Michael A.",451
Clark,3755 - LAS,"Supreme Court Justice, Seat G","Saitta, Nancy M.",451
Clark,3755 - LAS,"Supreme Court Justice, Seat F","Douglas, Michael L.",455
Clark,3756 - County,President and Vice President of the United States,"GOODE, VIRGIL",0
Clark,3756 - County,President and Vice President of the United States,None Of These Candidates,0
Clark,3756 - County,President and Vice President of the United States,"JOHNSON, GARY",5
Clark,3756 - County,COUNTY COMMISSION DISTRICT C,"Barnhill, Brad Lee",6
Clark,3756 - County,"State Assembly, District  4","Hansen, Jonathan J.",12
Clark,3756 - County,"U.S. Representative in Congress, District 4","SILVESTRI, JOSEPH P.",12
Clark,3756 - County,United States Senator,"VANDERBEEK, DAVID LORY",12
Clark,3756 - County,"U.S. Representative in Congress, District 4","Fitzgibbons, Floyd",14
Clark,3756 - County,United States Senator,None Of These Candidates,14
Clark,3756 - County,"District Court Judge, District 8, Department  4","Kelley, Robert A.",16
Clark,3756 - County,"District Court Judge, District 8, Department  4","Mills, Michael C. ""Mike""",17
Clark,3756 - County,"District Court Judge, District 8, Department  4","Gale, Bruce L.",24
Clark,3756 - County,"District Court Judge, District 8, Department  4","Watkins, John G.",24
Clark,3756 - County,"District Court Judge, District 8, Department  4","Peyton, Troy E.",25
Clark,3756 - County,"District Court Judge, District 8, Department  4","Bailey, Soonhee ""Sunny""",28
Clark,3756 - County,"District Court Judge, District 8, Department  4","Kimble-Simms, Marsha",33
Clark,3756 - County,"District Court Judge, District 8, Department  5","Jefferson, Phung",61
Clark,3756 - County,"District Court Judge, District 8, Department  4","Lee, Chris",64
Clark,3756 - County,"District Court Judge, District 8, Department  4","Earley, Kerry Louise",83
Clark,3756 - County,"Supreme Court Justice, Seat C",None Of These Candidates,87
Clark,3756 - County,"Supreme Court Justice, Seat F",None Of These Candidates,89
Clark,3756 - County,CLARK COUNTY QUESTION NO. 2,Yes,91
Clark,3756 - County,"State Assembly, District  4","Evans, Kenneth C.",97
Clark,3756 - County,"Supreme Court Justice, Seat G",None Of These Candidates,97
Clark,3756 - County,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 1","Ginn, Vincent",103
Clark,3756 - County,"U.S. Representative in Congress, District 4","Horsford, Steven A.",103
Clark,3756 - County,United States Senator,"Berkley, Shelley",109
Clark,3756 - County,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 5","Dustin-Cruz, Cynthia",113
Clark,3756 - County,President and Vice President of the United States,"Obama, Barack",124
Clark,3756 - County,"State Senate, District 18","Ross, Kelli",127
Clark,3756 - County,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT E","Clinton, James",129
Clark,3756 - County,"District Court Judge, District 8, Department 20","Rasmussen, Chris T.",132
Clark,3756 - County,"District Court Judge, District 8, Department 14","Escobar, Adriana",142
Clark,3756 - County,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 8","Chelini, Amy",149
Clark,3756 - County,State Question No. 1,Yes,169
Clark,3756 - County,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 8","Zimmerman, Ann Elizabeth",175
Clark,3756 - County,"District Court Judge, District 8, Department 14","Davidson, Michael D.",178
Clark,3756 - County,COUNTY COMMISSION DISTRICT C,"Brown, Larry",187
Clark,3756 - County,"District Court Judge, District 8, Department 20","Tao, Jerry",193
Clark,3756 - County,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT E","Tew, Patrice",196
Clark,3756 - County,COUNTY COMMISSION DISTRICT C,"Lake, Craig O.",202
Clark,3756 - County,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 5","Jansen, William ""Bill""",208
Clark,3756 - County,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 1","Lippis, Deborah",213
Clark,3756 - County,State Question No. 1,No,236
Clark,3756 - County,"District Court Judge, District 8, Department  5","Ellsworth, Carolyn",258
Clark,3756 - County,"Supreme Court Justice, Seat G","Saitta, Nancy M.",262
Clark,3756 - County,"Supreme Court Justice, Seat F","Douglas, Michael L.",268
Clark,3756 - County,"State Senate, District 18","Hammond, Scott T.",273
Clark,3756 - County,"Supreme Court Justice, Seat C","Cherry, Michael A.",274
Clark,3756 - County,"U.S. Representative in Congress, District 4","TARKANIAN, DANNY",276
Clark,3756 - County,United States Senator,"Heller, Dean",282
Clark,3756 - County,"State Assembly, District  4","Fiore, Michele",292
Clark,3756 - County,President and Vice President of the United States,"Romney, Mitt",293
Clark,3756 - County,CLARK COUNTY QUESTION NO. 2,No,320
Clark,3757 - County,President and Vice President of the United States,"GOODE, VIRGIL",1
Clark,3757 - County,President and Vice President of the United States,None Of These Candidates,1
Clark,3757 - County,President and Vice President of the United States,"JOHNSON, GARY",2
Clark,3757 - County,United States Senator,None Of These Candidates,11
Clark,3757 - County,"U.S. Representative in Congress, District 4","Fitzgibbons, Floyd",14
Clark,3757 - County,COUNTY COMMISSION DISTRICT C,"Barnhill, Brad Lee",16
Clark,3757 - County,United States Senator,"VANDERBEEK, DAVID LORY",19
Clark,3757 - County,"U.S. Representative in Congress, District 4","SILVESTRI, JOSEPH P.",29
Clark,3757 - County,"District Court Judge, District 8, Department  4","Peyton, Troy E.",31
Clark,3757 - County,"District Court Judge, District 8, Department  4","Gale, Bruce L.",32
Clark,3757 - County,"District Court Judge, District 8, Department  4","Kelley, Robert A.",38
Clark,3757 - County,"District Court Judge, District 8, Department  4","Watkins, John G.",40
Clark,3757 - County,"District Court Judge, District 8, Department  4","Bailey, Soonhee ""Sunny""",42
Clark,3757 - County,"District Court Judge, District 8, Department  4","Kimble-Simms, Marsha",43
Clark,3757 - County,"District Court Judge, District 8, Department  4","Mills, Michael C. ""Mike""",48
Clark,3757 - County,"District Court Judge, District 8, Department  5","Jefferson, Phung",74
Clark,3757 - County,"Supreme Court Justice, Seat C",None Of These Candidates,92
Clark,3757 - County,"Supreme Court Justice, Seat F",None Of These Candidates,96
Clark,3757 - County,"District Court Judge, District 8, Department  4","Lee, Chris",97
Clark,3757 - County,"Supreme Court Justice, Seat G",None Of These Candidates,101
Clark,3757 - County,"District Court Judge, District 8, Department  4","Earley, Kerry Louise",131
Clark,3757 - County,CLARK COUNTY QUESTION NO. 2,Yes,151
Clark,3757 - County,"U.S. Representative in Congress, District 4","Horsford, Steven A.",172
Clark,3757 - County,United States Senator,"Berkley, Shelley",178
Clark,3757 - County,"State Senate, District 6","Yerushalmi, Benny",179
Clark,3757 - County,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 5","Dustin-Cruz, Cynthia",192
Clark,3757 - County,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 1","Ginn, Vincent",193
Clark,3757 - County,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT E","Clinton, James",199
Clark,3757 - County,President and Vice President of the United States,"Obama, Barack",200
Clark,3757 - County,"State Assembly, District 37","Conklin, Marcus",204
Clark,3757 - County,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 8","Chelini, Amy",228
Clark,3757 - County,"District Court Judge, District 8, Department 20","Rasmussen, Chris T.",229
Clark,3757 - County,"District Court Judge, District 8, Department 14","Escobar, Adriana",237
Clark,3757 - County,"District Court Judge, District 8, Department 14","Davidson, Michael D.",282
Clark,3757 - County,"District Court Judge, District 8, Department 20","Tao, Jerry",289
Clark,3757 - County,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 8","Zimmerman, Ann Elizabeth",299
Clark,3757 - County,COUNTY COMMISSION DISTRICT C,"Lake, Craig O.",306
Clark,3757 - County,State Question No. 1,No,308
Clark,3757 - County,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 1","Lippis, Deborah",312
Clark,3757 - County,COUNTY COMMISSION DISTRICT C,"Brown, Larry",315
Clark,3757 - County,State Question No. 1,Yes,322
Clark,3757 - County,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 5","Jansen, William ""Bill""",324
Clark,3757 - County,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT E","Tew, Patrice",338
Clark,3757 - County,"State Assembly, District 37","Duncan, Wesley",423
Clark,3757 - County,"District Court Judge, District 8, Department  5","Ellsworth, Carolyn",432
Clark,3757 - County,"U.S. Representative in Congress, District 4","TARKANIAN, DANNY",433
Clark,3757 - County,United States Senator,"Heller, Dean",445
Clark,3757 - County,"State Senate, District 6","Hutchison, Mark",455
Clark,3757 - County,President and Vice President of the United States,"Romney, Mitt",456
Clark,3757 - County,"Supreme Court Justice, Seat G","Saitta, Nancy M.",472
Clark,3757 - County,"Supreme Court Justice, Seat F","Douglas, Michael L.",478
Clark,3757 - County,"Supreme Court Justice, Seat C","Cherry, Michael A.",483
Clark,3757 - County,CLARK COUNTY QUESTION NO. 2,No,494
Clark,3758 - County,President and Vice President of the United States,"GOODE, VIRGIL",4
Clark,3758 - County,President and Vice President of the United States,None Of These Candidates,4
Clark,3758 - County,President and Vice President of the United States,"JOHNSON, GARY",8
Clark,3758 - County,COUNTY COMMISSION DISTRICT C,"Barnhill, Brad Lee",9
Clark,3758 - County,United States Senator,None Of These Candidates,16
Clark,3758 - County,United States Senator,"VANDERBEEK, DAVID LORY",19
Clark,3758 - County,"U.S. Representative in Congress, District 4","Fitzgibbons, Floyd",22
Clark,3758 - County,"U.S. Representative in Congress, District 4","SILVESTRI, JOSEPH P.",37
Clark,3758 - County,"District Court Judge, District 8, Department  4","Gale, Bruce L.",39
Clark,3758 - County,"District Court Judge, District 8, Department  4","Peyton, Troy E.",41
Clark,3758 - County,"District Court Judge, District 8, Department  4","Kimble-Simms, Marsha",43
Clark,3758 - County,"District Court Judge, District 8, Department  4","Kelley, Robert A.",50
Clark,3758 - County,"District Court Judge, District 8, Department  4","Watkins, John G.",58
Clark,3758 - County,"District Court Judge, District 8, Department  4","Bailey, Soonhee ""Sunny""",64
Clark,3758 - County,"District Court Judge, District 8, Department  4","Lee, Chris",83
Clark,3758 - County,"District Court Judge, District 8, Department  4","Mills, Michael C. ""Mike""",84
Clark,3758 - County,"District Court Judge, District 8, Department  5","Jefferson, Phung",128
Clark,3758 - County,"Supreme Court Justice, Seat F",None Of These Candidates,147
Clark,3758 - County,"Supreme Court Justice, Seat C",None Of These Candidates,153
Clark,3758 - County,"Supreme Court Justice, Seat G",None Of These Candidates,162
Clark,3758 - County,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 1","Ginn, Vincent",203
Clark,3758 - County,"District Court Judge, District 8, Department  4","Earley, Kerry Louise",205
Clark,3758 - County,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT E","Clinton, James",213
Clark,3758 - County,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 5","Dustin-Cruz, Cynthia",219
Clark,3758 - County,"U.S. Representative in Congress, District 4","Horsford, Steven A.",219
Clark,3758 - County,"State Senate, District 6","Yerushalmi, Benny",227
Clark,3758 - County,CLARK COUNTY QUESTION NO. 2,Yes,231
Clark,3758 - County,United States Senator,"Berkley, Shelley",232
Clark,3758 - County,President and Vice President of the United States,"Obama, Barack",237
Clark,3758 - County,"State Assembly, District 37","Conklin, Marcus",239
Clark,3758 - County,"District Court Judge, District 8, Department 20","Rasmussen, Chris T.",263
Clark,3758 - County,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 8","Chelini, Amy",281
Clark,3758 - County,"District Court Judge, District 8, Department 14","Escobar, Adriana",282
Clark,3758 - County,"District Court Judge, District 8, Department 14","Davidson, Michael D.",383
Clark,3758 - County,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 8","Zimmerman, Ann Elizabeth",398
Clark,3758 - County,State Question No. 1,Yes,402
Clark,3758 - County,"District Court Judge, District 8, Department 20","Tao, Jerry",411
Clark,3758 - County,COUNTY COMMISSION DISTRICT C,"Brown, Larry",419
Clark,3758 - County,COUNTY COMMISSION DISTRICT C,"Lake, Craig O.",435
Clark,3758 - County,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 5","Jansen, William ""Bill""",458
Clark,3758 - County,"JUSTICE OF THE PEACE, LAS VEGAS TOWNSHIP, DEPT. 1","Lippis, Deborah",459
Clark,3758 - County,State Question No. 1,No,465
Clark,3758 - County,"TRUSTEE, CLARK COUNTY SCHOOL DISTRICT E","Tew, Patrice",482
Clark,3758 - County,"District Court Judge, District 8, Department  5","Ellsworth, Carolyn",548
Clark,3758 - County,"U.S. Representative in Congress, District 4","TARKANIAN, DANNY",601
Clark,3758 - County,"State Assembly, District 37","Duncan, Wesley",603
Clark,3758 - County,"Supreme Court Justice, Seat G","Saitta, Nancy M.",607
Clark,3758 - County,"Supreme Court Justice, Seat F","Douglas, Michael L.",621
Clark,3758 - County,"Supreme Court Justice, Seat C","Cherry, Michael A.",622
Clark,3758 - County,United States Senator,"Heller, Dean",625
Clark,3758 - County,"State Senate, District 6","Hutchison, Mark",633
Clark,3758 - County,CLARK COUNTY QUESTION NO. 2,No,649
Clark,3758 - County,President and Vice President of the United States,"Romney, Mitt",649
Clark,3759 - LAS,President and Vice President of the United States,"GOODE, VIRGIL",4
Clark,3759 - LAS,President and Vice President of the United States,None Of These Candidates,9
Clark,3759 - LAS,President and Vice President of the United States,"JOHNSON, GARY",11
Clark,3759 - LAS,COUNTY COMMISSION DISTRICT C,"Barnhill, Brad Lee",30
Clark,3759 - LAS,United States Senator,None Of These Candidates,34
Clark,3759 - LAS,"District Court Judge, District 8, Department  4","Peyton, Troy E.",36
Clark,3759 - LAS,"U.S. Representative in Congress, District 4","SILVESTRI, JOSEPH P.",40
Clark,3759 - LAS,"U.S. Representative in Congress, District 4","Fitzgibbons, Floyd",41
Clark,3759 - LAS,United States Senator,"VANDERBEEK, DAVID LORY",46
Clark,3759 - LAS,"District Court Judge, District 8, Department  4","Mills, Michael C. ""Mike""",48
Clark,3759 - LAS,"District Court Judge, District 8, Department  4","Gale, Bruce L.",63
Clark,3759 - LAS,"District Court Judge, District 8, Department  4","Kelley, Robert A.",64
Clark,3759 - LAS,"District Court Judge, District 8, Department  4","Watkins, John G.",70
Clark,3759 - LAS,"District Court Judge, District 8, Department  4","Bailey, Soonhee ""Sunny""",80
Clark,3759 - LAS,"District Court Judge, District 8, Department  4","Kimble-Simms, Marsha",100
Clark,3759 - LAS,"District Court Judge, District 8, Department  4","Lee, Chris",127
Clark,3759 - LAS,"District Court Judge, District 8, Department  5","Jefferson, Phung",150
Clark,3759 - LAS,"Supreme Court Justice, Seat F",None Of These Candidates,189
