"Jurisdiction","Precinct","Race","Candidate","Votes"
"Clark","2643","Justice of the Peace, Las Vegas Township, Department 4","SMITH-PETERSON, JESSICA","247"
"Clark","2643","State Senate, District 18","STEINBECK, JOHN","1088"
"Clark","2643","Supreme Court Justice, Seat G","STIGLICH, LIDIA","1071"
"Clark","2643","Justice of the Peace, Las Vegas Township, Department 4","Stoberski, Holly","174"
"Clark","2643","District Court Judge, Eighth Judicial District, Department 14","TALIM, TINA","878"
"Clark","2643","President and Vice President of the United States","Trump, Donald J. and Vance, JD","1050"
"Clark","2643","County Commissioner, District B","WELSH, JESSE","685"
"Clark","2644","State Assembly, District 13","ANDREWS, DANIEL","697"
"Clark","2644","Justice of the Peace, Las Vegas Township, Department 4","BAUCUM, SUZAN","728"
"Clark","2644","Justice of the Peace, Las Vegas Township, Department 8","BERNSTEIN, NANCY","855"
"Clark","2644","U.S. Representative in Congress, District 4","Best, Russell","25"
"Clark","2644","State Senate, District 18","BILODEAU, RONALD ""Ron""","657"
"Clark","2644","Justice of the Peace, Las Vegas Township, Department 2","BRADFORD, KRISTAL","763"
"Clark","2644","United States Senator","BROWN, SAM","1578"
"Clark","2644","Supreme Court Justice, Seat C","CADISH, ELISSA","1500"
"Clark","2644","District Court Judge,Eighth Judicial District, Department 27","COFFING, TERRY","567"
"Clark","2644","Justice of the Peace, Las Vegas Township, Department 5","COLE, MADILYN ""Leavitt""","1078"
"Clark","2644","United States Senator","Cunningham, Chris","32"
"Clark","2644","School Board Trustee, District B","Dominguez, Lydia","994"
"Clark","2644","Justice of the Peace, Las Vegas Township, Department 5","DUSTIN-CRUZ, CYNTHIA","832"
"Clark","2644","School Board Trustee, District B","EADY, EILEEN","898"
"Clark","2644","Justice of the Peace, Las Vegas Township, Department 8","FERREIRA, AMY","1024"
"Clark","2644","U.S. Representative in Congress, District 4","Ferreira, Tim ""TJ""","28"
"Clark","2644","District Court Judge, Eighth Judicial District, Family Division, Department N","GAUDET, PAUL M.","1132"
"Clark","2644","District Court Judge, Eighth Judicial District, Family Division, Department C","GORDON, GREGORY G.","1752"
"Clark","2644","United States Senator","Hansen, JANINE","25"
"Clark","2644","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","752"
"Clark","2644","Justice of the Peace, Las Vegas Township, Department 4","HEAP, HILARY","213"
"Clark","2644","State Assembly, District 13","HIBBETTS, BRIAN","1684"
"Clark","2644","U.S. Representative in Congress, District 4","Horsford, Steven","768"
"Clark","2644","County Commissioner, District B","KIRKPATRICK, MARILYN","1093"
"Clark","2644","Justice of the Peace, Las Vegas Township, Department 4","LEAVITT, JAMES DEAN","508"
"Clark","2644","U.S. Representative in Congress, District 4","Lee, John","1595"
"Clark","2644","Supreme Court Justice, Seat F","Lee, Patty","1539"
"Clark","2644","District Court Judge, Eighth Judicial District, Department 14","LEFEBVRE, ALAN J.","783"
"Clark","2644","District Court Judge, Eighth Judicial District, Family Division, Department N","MAXEY, KERRI","770"
"Clark","2644","District Court Judge, Eighth Judicial District, Family Division, Department O","MCCONNELL, GINA","1718"
"Clark","2644","District Court Judge,Eighth Judicial District, Department 27","MCLEOD, ALEXANDRA Beth","449"
"Clark","2644","District Court Judge,Eighth Judicial District, Department 27","MENDOZA, ERIKA","930"
"Clark","2644","Supreme Court Justice, Seat F","None Of These Candidates","522"
"Clark","2644","President and Vice President of the United States","None Of These Candidates","24"
"Clark","2644","Supreme Court Justice, Seat C","None Of These Candidates","565"
"Clark","2644","Supreme Court Justice, Seat G","None Of These Candidates","517"
"Clark","2644","United States Senator","None Of These Candidates","53"
"Clark","2644","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","4"
"Clark","2644","District Court Judge, Eighth Judicial District, Department  7","Pieper, DANIELLE K.","1820"
"Clark","2644","District Court Judge, Eighth Judicial District, Department 29","REYNOLDS, JACOB","1762"
"Clark","2644","United States Senator","ROSEN, JACKY S.","764"
"Clark","2644","Justice of the Peace, Las Vegas Township, Department 2","SCISCENTO, JOSEPH S.","1143"
"Clark","2644","President and Vice President of the United States","Skousen, Joel and Combs, Rik","5"
"Clark","2644","Justice of the Peace, Las Vegas Township, Department 4","SMITH-PETERSON, JESSICA","272"
"Clark","2644","State Senate, District 18","STEINBECK, JOHN","1735"
"Clark","2644","Supreme Court Justice, Seat G","STIGLICH, LIDIA","1542"
"Clark","2644","Justice of the Peace, Las Vegas Township, Department 4","Stoberski, Holly","232"
"Clark","2644","District Court Judge, Eighth Judicial District, Department 14","TALIM, TINA","1195"
"Clark","2644","President and Vice President of the United States","Trump, Donald J. and Vance, JD","1680"
"Clark","2644","County Commissioner, District B","WELSH, JESSE","1102"
"Clark","2645","State Assembly, District 13","ANDREWS, DANIEL","32"
"Clark","2645","Justice of the Peace, Las Vegas Township, Department 4","BAUCUM, SUZAN","27"
"Clark","2645","Justice of the Peace, Las Vegas Township, Department 8","BERNSTEIN, NANCY","51"
"Clark","2645","U.S. Representative in Congress, District 4","Best, Russell","2"
"Clark","2645","State Senate, District 18","BILODEAU, RONALD ""Ron""","33"
"Clark","2645","Justice of the Peace, Las Vegas Township, Department 2","BRADFORD, KRISTAL","45"
"Clark","2645","United States Senator","BROWN, SAM","74"
"Clark","2645","Supreme Court Justice, Seat C","CADISH, ELISSA","86"
"Clark","2645","District Court Judge,Eighth Judicial District, Department 27","COFFING, TERRY","32"
"Clark","2645","Justice of the Peace, Las Vegas Township, Department 5","COLE, MADILYN ""Leavitt""","51"
"Clark","2645","United States Senator","Cunningham, Chris","3"
"Clark","2645","School Board Trustee, District B","Dominguez, Lydia","56"
"Clark","2645","Justice of the Peace, Las Vegas Township, Department 5","DUSTIN-CRUZ, CYNTHIA","54"
"Clark","2645","School Board Trustee, District B","EADY, EILEEN","49"
"Clark","2645","Justice of the Peace, Las Vegas Township, Department 8","FERREIRA, AMY","53"
"Clark","2645","U.S. Representative in Congress, District 4","Ferreira, Tim ""TJ""","3"
"Clark","2645","District Court Judge, Eighth Judicial District, Family Division, Department N","GAUDET, PAUL M.","55"
"Clark","2645","District Court Judge, Eighth Judicial District, Family Division, Department C","GORDON, GREGORY G.","103"
"Clark","2645","United States Senator","Hansen, JANINE","2"
"Clark","2645","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","34"
"Clark","2645","Justice of the Peace, Las Vegas Township, Department 4","HEAP, HILARY","17"
"Clark","2645","State Assembly, District 13","HIBBETTS, BRIAN","83"
"Clark","2645","U.S. Representative in Congress, District 4","Horsford, Steven","36"
"Clark","2645","County Commissioner, District B","KIRKPATRICK, MARILYN","51"
"Clark","2645","Justice of the Peace, Las Vegas Township, Department 4","LEAVITT, JAMES DEAN","36"
"Clark","2645","U.S. Representative in Congress, District 4","Lee, John","79"
"Clark","2645","Supreme Court Justice, Seat F","Lee, Patty","88"
"Clark","2645","District Court Judge, Eighth Judicial District, Department 14","LEFEBVRE, ALAN J.","43"
"Clark","2645","District Court Judge, Eighth Judicial District, Family Division, Department N","MAXEY, KERRI","53"
"Clark","2645","District Court Judge, Eighth Judicial District, Family Division, Department O","MCCONNELL, GINA","103"
"Clark","2645","District Court Judge,Eighth Judicial District, Department 27","MCLEOD, ALEXANDRA Beth","25"
"Clark","2645","District Court Judge,Eighth Judicial District, Department 27","MENDOZA, ERIKA","52"
"Clark","2645","United States Senator","None Of These Candidates","6"
"Clark","2645","Supreme Court Justice, Seat G","None Of These Candidates","21"
"Clark","2645","Supreme Court Justice, Seat C","None Of These Candidates","22"
"Clark","2645","President and Vice President of the United States","None Of These Candidates","4"
"Clark","2645","Supreme Court Justice, Seat F","None Of These Candidates","20"
"Clark","2645","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","1"
"Clark","2645","District Court Judge, Eighth Judicial District, Department  7","Pieper, DANIELLE K.","100"
"Clark","2645","District Court Judge, Eighth Judicial District, Department 29","REYNOLDS, JACOB","99"
"Clark","2645","United States Senator","ROSEN, JACKY S.","36"
"Clark","2645","Justice of the Peace, Las Vegas Township, Department 2","SCISCENTO, JOSEPH S.","60"
"Clark","2645","President and Vice President of the United States","Skousen, Joel and Combs, Rik","3"
"Clark","2645","Justice of the Peace, Las Vegas Township, Department 4","SMITH-PETERSON, JESSICA","15"
"Clark","2645","State Senate, District 18","STEINBECK, JOHN","84"
"Clark","2645","Supreme Court Justice, Seat G","STIGLICH, LIDIA","87"
"Clark","2645","Justice of the Peace, Las Vegas Township, Department 4","Stoberski, Holly","12"
"Clark","2645","District Court Judge, Eighth Judicial District, Department 14","TALIM, TINA","64"
"Clark","2645","President and Vice President of the United States","Trump, Donald J. and Vance, JD","80"
"Clark","2645","County Commissioner, District B","WELSH, JESSE","60"
"Clark","2651","Justice of the Peace, Las Vegas Township, Department 4","BAUCUM, SUZAN","530"
"Clark","2651","City of Las Vegas, Mayor","BERKLEY, SHELLEY","1097"
"Clark","2651","Justice of the Peace, Las Vegas Township, Department 8","BERNSTEIN, NANCY","924"
"Clark","2651","U.S. Representative in Congress, District 4","Best, Russell","31"
"Clark","2651","State Senate, District 18","BILODEAU, RONALD ""Ron""","1068"
"Clark","2651","Justice of the Peace, Las Vegas Township, Department 2","BRADFORD, KRISTAL","969"
"Clark","2651","United States Senator","BROWN, SAM","1131"
"Clark","2651","Supreme Court Justice, Seat C","CADISH, ELISSA","1482"
"Clark","2651","District Court Judge,Eighth Judicial District, Department 27","COFFING, TERRY","553"
"Clark","2651","State Assembly, District  4","COLE, LISA","1219"
"Clark","2651","Justice of the Peace, Las Vegas Township, Department 5","COLE, MADILYN ""Leavitt""","975"
"Clark","2651","United States Senator","Cunningham, Chris","41"
"Clark","2651","School Board Trustee, District B","Dominguez, Lydia","978"
"Clark","2651","Justice of the Peace, Las Vegas Township, Department 5","DUSTIN-CRUZ, CYNTHIA","918"
"Clark","2651","School Board Trustee, District B","EADY, EILEEN","915"
"Clark","2651","Justice of the Peace, Las Vegas Township, Department 8","FERREIRA, AMY","964"
"Clark","2651","U.S. Representative in Congress, District 4","Ferreira, Tim ""TJ""","27"
"Clark","2651","District Court Judge, Eighth Judicial District, Family Division, Department N","GAUDET, PAUL M.","860"
"Clark","2651","District Court Judge, Eighth Judicial District, Family Division, Department C","GORDON, GREGORY G.","1751"
"Clark","2651","State Assembly, District  4","HAMPTON, RYAN","1135"
"Clark","2651","United States Senator","Hansen, JANINE","29"
"Clark","2651","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","1193"
"Clark","2651","Justice of the Peace, Las Vegas Township, Department 4","HEAP, HILARY","243"
"Clark","2651","U.S. Representative in Congress, District 4","Horsford, Steven","1193"
"Clark","2651","County Commissioner, District B","KIRKPATRICK, MARILYN","1333"
"Clark","2651","Justice of the Peace, Las Vegas Township, Department 4","LEAVITT, JAMES DEAN","496"
"Clark","2651","U.S. Representative in Congress, District 4","Lee, John","1162"
"Clark","2651","Supreme Court Justice, Seat F","Lee, Patty","1491"
"Clark","2651","District Court Judge, Eighth Judicial District, Department 14","LEFEBVRE, ALAN J.","711"
"Clark","2651","District Court Judge, Eighth Judicial District, Family Division, Department N","MAXEY, KERRI","1001"
"Clark","2651","District Court Judge, Eighth Judicial District, Family Division, Department O","MCCONNELL, GINA","1739"
"Clark","2651","District Court Judge,Eighth Judicial District, Department 27","MCLEOD, ALEXANDRA Beth","532"
"Clark","2651","District Court Judge,Eighth Judicial District, Department 27","MENDOZA, ERIKA","823"
"Clark","2651","Supreme Court Justice, Seat C","None Of These Candidates","599"
"Clark","2651","President and Vice President of the United States","None Of These Candidates","27"
"Clark","2651","Supreme Court Justice, Seat F","None Of These Candidates","585"
"Clark","2651","Supreme Court Justice, Seat G","None Of These Candidates","580"
"Clark","2651","United States Senator","None Of These Candidates","66"
"Clark","2651","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","8"
"Clark","2651","District Court Judge, Eighth Judicial District, Department  7","Pieper, DANIELLE K.","1836"
"Clark","2651","District Court Judge, Eighth Judicial District, Department 29","REYNOLDS, JACOB","1759"
"Clark","2651","United States Senator","ROSEN, JACKY S.","1199"
"Clark","2651","Justice of the Peace, Las Vegas Township, Department 2","SCISCENTO, JOSEPH S.","931"
"Clark","2651","City of Las Vegas, Mayor","SEAMAN, VICTORIA","1059"
"Clark","2651","President and Vice President of the United States","Skousen, Joel and Combs, Rik","5"
"Clark","2651","Justice of the Peace, Las Vegas Township, Department 4","SMITH-PETERSON, JESSICA","387"
"Clark","2651","State Senate, District 18","STEINBECK, JOHN","1291"
"Clark","2651","Supreme Court Justice, Seat G","STIGLICH, LIDIA","1502"
"Clark","2651","Justice of the Peace, Las Vegas Township, Department 4","Stoberski, Holly","284"
"Clark","2651","District Court Judge, Eighth Judicial District, Department 14","TALIM, TINA","1243"
"Clark","2651","President and Vice President of the United States","Trump, Donald J. and Vance, JD","1273"
"Clark","2651","County Commissioner, District B","WELSH, JESSE","841"
"Clark","2654","State Assembly, District 13","ANDREWS, DANIEL","805"
"Clark","2654","Justice of the Peace, Las Vegas Township, Department 4","BAUCUM, SUZAN","577"
"Clark","2654","City of Las Vegas, Mayor","BERKLEY, SHELLEY","891"
"Clark","2654","Justice of the Peace, Las Vegas Township, Department 8","BERNSTEIN, NANCY","798"
"Clark","2654","U.S. Representative in Congress, District 4","Best, Russell","23"
"Clark","2654","State Senate, District 18","BILODEAU, RONALD ""Ron""","767"
"Clark","2654","Justice of the Peace, Las Vegas Township, Department 2","BRADFORD, KRISTAL","786"
"Clark","2654","United States Senator","BROWN, SAM","1139"
"Clark","2654","Supreme Court Justice, Seat C","CADISH, ELISSA","1302"
"Clark","2654","District Court Judge,Eighth Judicial District, Department 27","COFFING, TERRY","486"
"Clark","2654","Justice of the Peace, Las Vegas Township, Department 5","COLE, MADILYN ""Leavitt""","887"
"Clark","2654","United States Senator","Cunningham, Chris","31"
"Clark","2654","School Board Trustee, District B","Dominguez, Lydia","891"
"Clark","2654","Justice of the Peace, Las Vegas Township, Department 5","DUSTIN-CRUZ, CYNTHIA","750"
"Clark","2654","School Board Trustee, District B","EADY, EILEEN","725"
"Clark","2654","Justice of the Peace, Las Vegas Township, Department 8","FERREIRA, AMY","837"
"Clark","2654","U.S. Representative in Congress, District 4","Ferreira, Tim ""TJ""","18"
"Clark","2654","District Court Judge, Eighth Judicial District, Family Division, Department N","GAUDET, PAUL M.","850"
"Clark","2654","District Court Judge, Eighth Judicial District, Family Division, Department C","GORDON, GREGORY G.","1505"
"Clark","2654","United States Senator","Hansen, JANINE","23"
"Clark","2654","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","879"
"Clark","2654","Justice of the Peace, Las Vegas Township, Department 4","HEAP, HILARY","219"
"Clark","2654","State Assembly, District 13","HIBBETTS, BRIAN","1262"
"Clark","2654","U.S. Representative in Congress, District 4","Horsford, Steven","885"
"Clark","2654","County Commissioner, District B","KIRKPATRICK, MARILYN","1050"
"Clark","2654","Justice of the Peace, Las Vegas Township, Department 4","LEAVITT, JAMES DEAN","427"
"Clark","2654","U.S. Representative in Congress, District 4","Lee, John","1170"
"Clark","2654","Supreme Court Justice, Seat F","Lee, Patty","1316"
"Clark","2654","District Court Judge, Eighth Judicial District, Department 14","LEFEBVRE, ALAN J.","644"
"Clark","2654","District Court Judge, Eighth Judicial District, Family Division, Department N","MAXEY, KERRI","774"
"Clark","2654","District Court Judge, Eighth Judicial District, Family Division, Department O","MCCONNELL, GINA","1509"
"Clark","2654","District Court Judge,Eighth Judicial District, Department 27","MCLEOD, ALEXANDRA Beth","413"
"Clark","2654","District Court Judge,Eighth Judicial District, Department 27","MENDOZA, ERIKA","761"
"Clark","2654","United States Senator","None Of These Candidates","54"
"Clark","2654","Supreme Court Justice, Seat C","None Of These Candidates","502"
"Clark","2654","President and Vice President of the United States","None Of These Candidates","23"
"Clark","2654","Supreme Court Justice, Seat F","None Of These Candidates","481"
"Clark","2654","Supreme Court Justice, Seat G","None Of These Candidates","488"
"Clark","2654","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","14"
"Clark","2654","District Court Judge, Eighth Judicial District, Department  7","Pieper, DANIELLE K.","1576"
"Clark","2654","District Court Judge, Eighth Judicial District, Department 29","REYNOLDS, JACOB","1523"
"Clark","2654","United States Senator","ROSEN, JACKY S.","890"
"Clark","2654","Justice of the Peace, Las Vegas Township, Department 2","SCISCENTO, JOSEPH S.","892"
"Clark","2654","City of Las Vegas, Mayor","SEAMAN, VICTORIA","1012"
"Clark","2654","President and Vice President of the United States","Skousen, Joel and Combs, Rik","4"
"Clark","2654","Justice of the Peace, Las Vegas Township, Department 4","SMITH-PETERSON, JESSICA","277"
"Clark","2654","State Senate, District 18","STEINBECK, JOHN","1297"
"Clark","2654","Supreme Court Justice, Seat G","STIGLICH, LIDIA","1307"
"Clark","2654","Justice of the Peace, Las Vegas Township, Department 4","Stoberski, Holly","190"
"Clark","2654","District Court Judge, Eighth Judicial District, Department 14","TALIM, TINA","1049"
"Clark","2654","President and Vice President of the United States","Trump, Donald J. and Vance, JD","1241"
"Clark","2654","County Commissioner, District B","WELSH, JESSE","830"
"Clark","2662","State Assembly, District 13","ANDREWS, DANIEL","819"
"Clark","2662","Justice of the Peace, Las Vegas Township, Department 4","BAUCUM, SUZAN","418"
"Clark","2662","City of Las Vegas, Mayor","BERKLEY, SHELLEY","847"
"Clark","2662","Justice of the Peace, Las Vegas Township, Department 8","BERNSTEIN, NANCY","777"
"Clark","2662","U.S. Representative in Congress, District 4","Best, Russell","23"
"Clark","2662","State Senate, District 18","BILODEAU, RONALD ""Ron""","806"
"Clark","2662","Justice of the Peace, Las Vegas Township, Department 2","BRADFORD, KRISTAL","823"
"Clark","2662","United States Senator","BROWN, SAM","960"
"Clark","2662","Supreme Court Justice, Seat C","CADISH, ELISSA","1167"
"Clark","2662","District Court Judge,Eighth Judicial District, Department 27","COFFING, TERRY","429"
"Clark","2662","Justice of the Peace, Las Vegas Township, Department 5","COLE, MADILYN ""Leavitt""","795"
"Clark","2662","United States Senator","Cunningham, Chris","24"
"Clark","2662","School Board Trustee, District B","Dominguez, Lydia","859"
"Clark","2662","Justice of the Peace, Las Vegas Township, Department 5","DUSTIN-CRUZ, CYNTHIA","743"
"Clark","2662","School Board Trustee, District B","EADY, EILEEN","693"
"Clark","2662","Justice of the Peace, Las Vegas Township, Department 8","FERREIRA, AMY","765"
"Clark","2662","U.S. Representative in Congress, District 4","Ferreira, Tim ""TJ""","27"
"Clark","2662","District Court Judge, Eighth Judicial District, Family Division, Department N","GAUDET, PAUL M.","770"
"Clark","2662","District Court Judge, Eighth Judicial District, Family Division, Department C","GORDON, GREGORY G.","1441"
"Clark","2662","United States Senator","Hansen, JANINE","32"
"Clark","2662","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","882"
"Clark","2662","Justice of the Peace, Las Vegas Township, Department 4","HEAP, HILARY","228"
"Clark","2662","State Assembly, District 13","HIBBETTS, BRIAN","1043"
"Clark","2662","U.S. Representative in Congress, District 4","Horsford, Steven","885"
"Clark","2662","County Commissioner, District B","KIRKPATRICK, MARILYN","1029"
"Clark","2662","Justice of the Peace, Las Vegas Township, Department 4","LEAVITT, JAMES DEAN","448"
"Clark","2662","U.S. Representative in Congress, District 4","Lee, John","965"
"Clark","2662","Supreme Court Justice, Seat F","Lee, Patty","1177"
"Clark","2662","District Court Judge, Eighth Judicial District, Department 14","LEFEBVRE, ALAN J.","602"
"Clark","2662","District Court Judge, Eighth Judicial District, Family Division, Department N","MAXEY, KERRI","769"
"Clark","2662","District Court Judge, Eighth Judicial District, Family Division, Department O","MCCONNELL, GINA","1431"
"Clark","2662","District Court Judge,Eighth Judicial District, Department 27","MCLEOD, ALEXANDRA Beth","399"
"Clark","2662","District Court Judge,Eighth Judicial District, Department 27","MENDOZA, ERIKA","719"
"Clark","2662","Supreme Court Justice, Seat C","None Of These Candidates","507"
"Clark","2662","United States Senator","None Of These Candidates","52"
"Clark","2662","President and Vice President of the United States","None Of These Candidates","24"
"Clark","2662","Supreme Court Justice, Seat F","None Of These Candidates","494"
"Clark","2662","Supreme Court Justice, Seat G","None Of These Candidates","495"
"Clark","2662","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","6"
"Clark","2662","District Court Judge, Eighth Judicial District, Department  7","Pieper, DANIELLE K.","1494"
"Clark","2662","District Court Judge, Eighth Judicial District, Department 29","REYNOLDS, JACOB","1431"
"Clark","2662","United States Senator","ROSEN, JACKY S.","873"
"Clark","2662","Justice of the Peace, Las Vegas Township, Department 2","SCISCENTO, JOSEPH S.","739"
"Clark","2662","City of Las Vegas, Mayor","SEAMAN, VICTORIA","845"
"Clark","2662","President and Vice President of the United States","Skousen, Joel and Combs, Rik","3"
"Clark","2662","Justice of the Peace, Las Vegas Township, Department 4","SMITH-PETERSON, JESSICA","293"
"Clark","2662","State Senate, District 18","STEINBECK, JOHN","1055"
"Clark","2662","Supreme Court Justice, Seat G","STIGLICH, LIDIA","1163"
"Clark","2662","Justice of the Peace, Las Vegas Township, Department 4","Stoberski, Holly","193"
"Clark","2662","District Court Judge, Eighth Judicial District, Department 14","TALIM, TINA","985"
"Clark","2662","President and Vice President of the United States","Trump, Donald J. and Vance, JD","1051"
"Clark","2662","County Commissioner, District B","WELSH, JESSE","718"
"Clark","2663","State Assembly, District 13","ANDREWS, DANIEL","643"
"Clark","2663","Justice of the Peace, Las Vegas Township, Department 4","BAUCUM, SUZAN","538"
"Clark","2663","City of Las Vegas, Mayor","BERKLEY, SHELLEY","737"
"Clark","2663","Justice of the Peace, Las Vegas Township, Department 8","BERNSTEIN, NANCY","745"
"Clark","2663","U.S. Representative in Congress, District 4","Best, Russell","20"
"Clark","2663","State Senate, District 18","BILODEAU, RONALD ""Ron""","626"
"Clark","2663","Justice of the Peace, Las Vegas Township, Department 2","BRADFORD, KRISTAL","653"
"Clark","2663","United States Senator","BROWN, SAM","1230"
"Clark","2663","Supreme Court Justice, Seat C","CADISH, ELISSA","1198"
"Clark","2663","District Court Judge,Eighth Judicial District, Department 27","COFFING, TERRY","511"
"Clark","2663","Justice of the Peace, Las Vegas Township, Department 5","COLE, MADILYN ""Leavitt""","916"
"Clark","2663","United States Senator","Cunningham, Chris","26"
"Clark","2663","School Board Trustee, District B","Dominguez, Lydia","842"
"Clark","2663","Justice of the Peace, Las Vegas Township, Department 5","DUSTIN-CRUZ, CYNTHIA","721"
"Clark","2663","School Board Trustee, District B","EADY, EILEEN","754"
"Clark","2663","Justice of the Peace, Las Vegas Township, Department 8","FERREIRA, AMY","874"
"Clark","2663","U.S. Representative in Congress, District 4","Ferreira, Tim ""TJ""","17"
"Clark","2663","District Court Judge, Eighth Judicial District, Family Division, Department N","GAUDET, PAUL M.","925"
"Clark","2663","District Court Judge, Eighth Judicial District, Family Division, Department C","GORDON, GREGORY G.","1475"
"Clark","2663","United States Senator","Hansen, JANINE","14"
"Clark","2663","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","687"
"Clark","2663","Justice of the Peace, Las Vegas Township, Department 4","HEAP, HILARY","198"
"Clark","2663","State Assembly, District 13","HIBBETTS, BRIAN","1309"
"Clark","2663","U.S. Representative in Congress, District 4","Horsford, Steven","710"
"Clark","2663","County Commissioner, District B","KIRKPATRICK, MARILYN","909"
"Clark","2663","Justice of the Peace, Las Vegas Township, Department 4","LEAVITT, JAMES DEAN","446"
"Clark","2663","U.S. Representative in Congress, District 4","Lee, John","1238"
"Clark","2663","Supreme Court Justice, Seat F","Lee, Patty","1223"
"Clark","2663","District Court Judge, Eighth Judicial District, Department 14","LEFEBVRE, ALAN J.","647"
"Clark","2663","District Court Judge, Eighth Judicial District, Family Division, Department N","MAXEY, KERRI","673"
"Clark","2663","District Court Judge, Eighth Judicial District, Family Division, Department O","MCCONNELL, GINA","1452"
"Clark","2663","District Court Judge,Eighth Judicial District, Department 27","MCLEOD, ALEXANDRA Beth","387"
"Clark","2663","District Court Judge,Eighth Judicial District, Department 27","MENDOZA, ERIKA","731"
"Clark","2663","Supreme Court Justice, Seat G","None Of These Candidates","467"
"Clark","2663","President and Vice President of the United States","None Of These Candidates","23"
"Clark","2663","Supreme Court Justice, Seat C","None Of These Candidates","496"
"Clark","2663","United States Senator","None Of These Candidates","41"
"Clark","2663","Supreme Court Justice, Seat F","None Of These Candidates","462"
"Clark","2663","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","3"
"Clark","2663","District Court Judge, Eighth Judicial District, Department  7","Pieper, DANIELLE K.","1524"
"Clark","2663","District Court Judge, Eighth Judicial District, Department 29","REYNOLDS, JACOB","1464"
"Clark","2663","United States Senator","ROSEN, JACKY S.","698"
"Clark","2663","Justice of the Peace, Las Vegas Township, Department 2","SCISCENTO, JOSEPH S.","980"
"Clark","2663","City of Las Vegas, Mayor","SEAMAN, VICTORIA","1103"
"Clark","2663","President and Vice President of the United States","Skousen, Joel and Combs, Rik","3"
"Clark","2663","Justice of the Peace, Las Vegas Township, Department 4","SMITH-PETERSON, JESSICA","263"
"Clark","2663","State Senate, District 18","STEINBECK, JOHN","1326"
"Clark","2663","Supreme Court Justice, Seat G","STIGLICH, LIDIA","1222"
"Clark","2663","Justice of the Peace, Las Vegas Township, Department 4","Stoberski, Holly","222"
"Clark","2663","District Court Judge, Eighth Judicial District, Department 14","TALIM, TINA","999"
"Clark","2663","President and Vice President of the United States","Trump, Donald J. and Vance, JD","1314"
"Clark","2663","County Commissioner, District B","WELSH, JESSE","916"
"Clark","2666","State Assembly, District 13","ANDREWS, DANIEL","1691"
"Clark","2666","U.S. Representative in Congress, District 4","Best, Russell","44"
"Clark","2666","State Senate, District 18","BILODEAU, RONALD ""Ron""","1641"
"Clark","2666","University Board of Regents, District 1","BOWEN, MATTHEW T.","1076"
"Clark","2666","United States Senator","BROWN, SAM","1284"
"Clark","2666","Supreme Court Justice, Seat C","CADISH, ELISSA","1968"
"Clark","2666","District Court Judge,Eighth Judicial District, Department 27","COFFING, TERRY","664"
"Clark","2666","Justice of the Peace, North Las Vegas Township, Department 2","COOPER, JONATHAN","1835"
"Clark","2666","United States Senator","Cunningham, Chris","46"
"Clark","2666","School Board Trustee, District B","Dominguez, Lydia","1452"
"Clark","2666","School Board Trustee, District B","EADY, EILEEN","1090"
"Clark","2666","University Board of Regents, District 1","FERNANDEZ, CARLOS D.","1378"
"Clark","2666","U.S. Representative in Congress, District 4","Ferreira, Tim ""TJ""","36"
"Clark","2666","District Court Judge, Eighth Judicial District, Family Division, Department N","GAUDET, PAUL M.","1084"
"Clark","2666","District Court Judge, Eighth Judicial District, Family Division, Department C","GORDON, GREGORY G.","2374"
"Clark","2666","United States Senator","Hansen, JANINE","38"
"Clark","2666","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","1784"
"Clark","2666","State Assembly, District 13","HIBBETTS, BRIAN","1402"
"Clark","2666","Justice of the Peace, North Las Vegas Township, Department 2","HOEFFGEN, SEAN","646"
"Clark","2666","U.S. Representative in Congress, District 4","Horsford, Steven","1776"
"Clark","2666","County Commissioner, District B","KIRKPATRICK, MARILYN","1878"
"Clark","2666","U.S. Representative in Congress, District 4","Lee, John","1291"
"Clark","2666","Supreme Court Justice, Seat F","Lee, Patty","1995"
"Clark","2666","District Court Judge, Eighth Judicial District, Department 14","LEFEBVRE, ALAN J.","883"
"Clark","2666","District Court Judge, Eighth Judicial District, Family Division, Department N","MAXEY, KERRI","1411"
"Clark","2666","District Court Judge, Eighth Judicial District, Family Division, Department O","MCCONNELL, GINA","2350"
"Clark","2666","District Court Judge,Eighth Judicial District, Department 27","MCLEOD, ALEXANDRA Beth","635"
"Clark","2666","District Court Judge,Eighth Judicial District, Department 27","MENDOZA, ERIKA","1257"
"Clark","2666","Supreme Court Justice, Seat F","None Of These Candidates","773"
"Clark","2666","Supreme Court Justice, Seat C","None Of These Candidates","796"
